Designator,Mid X,Mid Y,Layer,Rotation
C1,14.61,12.07,Top,90.0
C2,13.08,12.70,Top,90.0
C3,36.58,-13.84,Top,0.0
C4,43.18,-6.48,Top,0.0
C5,13.59,10.03,Top,270.0
C6,43.18,-8.64,Top,0.0
C7,43.18,-10.79,Top,0.0
C8,43.18,-12.95,Top,0.0
C9,31.88,-10.29,Top,270.0
C10,13.21,-4.57,Top,0.0
C11,12.57,-3.05,Top,0.0
C12, 9.91,-1.73,Top,270.0
C13,18.31,-8.86,Top,90.0
C17, 5.46,14.73,Top,90.0
C18,33.53,-6.10,Top,0.0
C19,24.00,-9.91,Top,270.0
C21, 6.22, 8.26,Top,180.0
C22, 6.22, 6.22,Top,180.0
C23, 7.87,-6.05,Top,180.0
C26,21.72,-9.91,Top,270.0
CH224,11.05,-10.16,Top,180.0
CH9102,12.73, 0.00,Top,0.0
D1,25.86,-15.57,Top,180.0
D2,49.02,-13.59,Top,270.0
D3,49.02,-3.30,Top,270.0
D4, 8.79,-1.45,Top,90.0
D5,49.05, 6.27,Top,270.0
D6,49.05,14.15,Top,90.0
D11, 8.79, 1.50,Top,270.0
DC/DC,36.60,-10.34,Top,90.0
I2C_PULLUPS,36.45, 0.89,Top,90.0
IC1,23.98, 9.22,Top,0.0
IC5,39.85, 6.05,Top,270.0
IC6,39.85,11.53,Top,270.0
J1, 0.00, 0.00,Top,270.0
J8,31.14,-3.10,Top,0.0
J9,22.56,-3.10,Top,0.0
L1,28.07,-10.29,Top,90.0
LED_IO9, 2.54,12.70,Top,90.0
POWER_OK, 2.54,-12.19,Top,0.0
Q1,12.45, 5.97,Top,90.0
Q2,55.75,-13.02,Top,0.0
Q3,55.75,-2.86,Top,0.0
Q4,55.75, 7.30,Top,0.0
Q5,55.75,17.46,Top,0.0
R1,14.61,10.03,Top,270.0
R2,50.93,-13.59,Top,90.0
R3,35.69,-7.11,Top,0.0
R4,14.48, 5.97,Top,90.0
R5,50.93,-3.30,Top,90.0
R6,37.87,-7.16,Top,180.0
R7,33.53,-7.11,Top,0.0
R8,50.90, 6.27,Top,90.0
R9,12.45, 7.75,Top,0.0
R10,35.69,-6.10,Top,0.0
R11,50.90,14.15,Top,270.0
R12,16.26,-8.89,Top,270.0
R13, 2.54,-13.21,Top,180.0
R14,12.45, 4.19,Top,180.0
R16,17.17,-14.73,Top,0.0
R17,17.17,-16.00,Top,0.0
R18,10.54,12.57,Top,90.0
R19,17.17,-17.27,Top,0.0
R20, 6.35,-8.76,Top,90.0
R24,35.94,-1.52,Top,270.0
R25,36.96,-1.52,Top,270.0
RESET, 0.67, 7.89,Top,90.0
S1,11.05,-16.00,Top,270.0
