Comment,Designator,Footprint,LCSC Part #
1TS003B-1600-3500A,RESET,1TS003B16003500A,
1k,R12,R0603,
1k,R20,R0402,
1uF,C13,C0603,
2.2uH,L1,L5.4X5.2,C351096
2k,R13,R0402,
4.7k,R24 R25,R0402,
4k7,R10,R0402,
8.2n,C9,C0603,
10,R2 R5 R8 R11,R1206,
10k,R1 R4 R9 R14 R16 R17 R18 R19,R0402,
13k,R3,R0402,
20k,R6,R0402,
22uF,C2 C10,C0603,
22uF/35V,C4 C6 C7 C8 C21 C22 C23,C0805,
44.2k,R7,R0402,
100n,C3,C0603,
100n,C5 C11 C12,C0402,
100nF,C1 C17,C0402,
100uF,C19 C26,C1206,
330p,C18,C0402,
CH224K,CH224,SOP100P600X180-11N,
CH9102F,CH9102,QFN24-4X4,
COS4427,IC5 IC6,SO08,
DMTH8003SPS-13,Q2 Q3 Q4 Q5,PG-TDSON-8,C434455
DSHP03TS-S,S1,DSHP03TSS,
ESP32-C3-MINI-1-N4,IC1,ESP32C3MINI1N4,
GREEN,POWER_OK,CHIPLED_0402,C2286
JUMPER-SMT_2_NO_NO-SILK,I2C_PULLUPS,SMT-JUMPER_2_NO_NO-SILK,
LESD5D5.0CT1G,D4 D11,LESD5D50CT1G,
LMR14050DDAR,DC/DC,SO08-EPAD,C155484
MMDT3904,Q1,SC70-6,C268586
PSBD1DF40V2H,D2 D3 D5 D6,SOD123-F,
SK6812-EC20,LED_IO9,SK6812EC20,
SS1045-SMB,D1,SMB,C2903947
USB-C_GT-USB-7010B,J1,G-SWITCH_GT-USB-7010B,C2837092
USUP_4P_V,J8,1X04_1MM_RA_VERT,C371588
USUP_SPI_CONNECTOR_VERT,J9,1X06_1MM_RA_VERT,C145963
